"precov","essl","comb.1","comb.2"
200,66,184,126
200,60,182,140
200,59,173,112
200,38,185,122
200,48,182,134
200,69,180,128
200,66,176,122
200,61,186,130
200,79,190,128
200,52,181,114
200,64,178,130
200,77,182,128
200,63,184,118
200,31,187,118
200,80,178,123
200,17,184,112
200,62,179,116
200,62,178,112
200,29,190,106
200,36,176,120
200,22,179,116
200,67,181,110
200,53,194,126
200,74,182,124
200,33,181,102
200,45,175,124
200,64,181,118
200,59,176,126
200,39,186,129
200,57,185,130
200,63,188,146
200,78,178,122
200,75,180,133
200,67,189,118
200,82,180,130
200,78,184,134
200,84,186,152
200,71,193,133
200,76,178,132
200,18,183,99
200,66,195,126
200,32,169,116
200,42,180,110
200,76,170,140
200,53,182,138
200,65,185,128
200,51,177,116
200,70,183,112
200,45,178,120
200,55,183,120
200,90,185,140
200,56,177,129
200,68,167,132
200,77,182,122
200,62,186,106
200,82,184,128
200,62,180,132
200,74,180,124
200,30,183,130
200,58,186,122
200,46,183,118
200,35,179,126
200,52,178,128
200,78,184,126
200,73,175,136
200,72,184,140
200,36,183,120
200,43,177,128
200,51,181,126
200,42,182,126
200,84,182,138
200,68,178,134
200,84,188,136
200,78,175,132
200,58,184,124
200,80,185,132
200,46,177,92
200,83,188,128
200,63,180,116
200,19,186,118
200,64,187,132
200,57,172,136
200,82,179,128
200,86,173,133
200,67,172,110
200,77,186,140
200,72,181,130
200,50,180,134
200,28,182,140
200,38,180,137
200,67,183,118
200,80,183,139
200,68,190,140
200,70,178,118
200,63,183,124
200,42,184,132
200,87,171,136
200,31,179,124
200,46,184,110
200,79,186,124
